,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Y2F,Y2E,Y2D,Y2C,Y2B,Y2A,Y29,Y28,Y27,Y26,Y25,Y24,Y23,Y22,Y21,Y20,,,,,,,,,,,
,,,,4거리,,,,3거리,,,,2거리,,,,1거리,,,,,,,,,,,,,,
,,,,8,4,2,1,8,4,2,1,8,4,2,1,8,4,2,1,,,,,,,,1,1,,
상태,,,,적,황,직,좌,적,황,직,좌,적,황,직,좌,적,황,직,좌,,,,,,,,2,2,,
3,1거리 선진행,,,1,,,,1,0,0,0,1,0,0,0,0,0,1,1,,8,8,8,3,8883,,3,3,0,MOV H0000 K4Y20
7,동서 진행,,,1,,,,,,1,,1,,,,,,1,0,,8,2,8,2,8282,,4,4,1,MOV H4444 K4Y20
8,동서 황색,,,1,,,,,1,,,1,,,,,1,,,,8,4,8,4,8484,,5,5,2,MOV H8888 K4Y20
2,인터미션 (전부 적),,,1,,,,1,,,,1,,,,1,,,,,8,8,8,8,8888,,6,6,3,MOV H8883 K4Y20
9,2거리 선진행,,,1,,,,1,,,,,,1,1,1,,,,,8,8,3,8,8838,,7,7,4,MOV H8882 K4Y20
13,남북 진행,,,,,1,,1,,,,,,1,,1,,,,,2,8,2,8,2828,,8,8,5,MOV H8388 K4Y20
14,남북 황색,,,,1,,,1,,,,,1,,,1,,,,,4,8,4,8,4848,,9,9,6,MOV H8288 K4Y20
5,3거리 선진행,,,1,,,,,,1,1,1,,,,1,,,,,8,3,8,8,8388,,10,A,7,MOV H8282 K4Y20
11,4거리 선진행,,,,,1,1,1,,,,1,,,,1,,,,,3,8,8,8,3888,,11,B,8,MOV H8484 K4Y20
4,1거리 선진행 후 동서 지연,,,1,,,,1,,,,1,,,,,,1,,,8,8,8,2,8882,,12,C,9,MOV H8838 K4Y20
10,2거리 선진행 후 동서 지연,,,1,,,,1,,,,,,1,,1,,,,,8,8,2,8,8828,,13,D,10,MOV H8828 K4Y20
6,3거리 선진행 후 동서 지연,,,1,,,,,,1,,1,,,,1,,,,,8,2,8,8,8288,,14,E,11,MOV H3888 K4Y20
12,4거리 선진행 후 동서 지연,,,,,1,,1,,,,1,,,,1,,,,,2,8,8,8,2888,,15,F,12,MOV H2888 K4Y20
1,모두 황색,,,,1,,,,1,,,,1,,,,1,,,,4,4,4,4,4444,,,,13,MOV H2828 K4Y20
0,모두 off,,,,,,,,,,,,,,,,,,,,0,0,0,0,0000,,,,14,MOV H4848 K4Y20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4거리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1거리,,3거리,m102,,,,,,,,,,,,,,,,,,,,,,,,,,,
m100,2거리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Y107,Y106,Y105,Y104,Y103,Y102,Y101,Y100,,,,,,,,,,,,,,,,,
,,,,,,8,4,2,1,8,4,2,1,,,,,,,,,,,,,,,,,
,보행자 신호등,,,,,적,백,적,백,적,백,적,백,,,,,,,,,,,,,,,,,
1거리,on,y100,11,13,,1,,1,,1,,,1,,0,0,A,9,00A9,,MOV H00A9 K2Y100,,1거리 만,,,,,,,
,off,y101,,,,1,,1,,,1,1,,,0,0,A,6,00A6,,MOV H00A6 K2Y100,,2거리 만,,,,,,,
2거리,on,y102,3,7,,1,,,1,1,,1,,,0,0,9,A,009A,,MOV H009A K2Y100,,3거리 만,,,,,,,
,off,y103,,,,,1,1,,1,,1,,,0,0,6,A,006A,,MOV H006A K2Y100,,4거리 만,,,,,,,
3거리,on,y104,10,13,,1,,1,,1,,1,,,0,0,A,A,00AA,,MOV H00AA K2Y100,,all off,,,,,,,
,off,y105,,,,1,,,1,1,,,1,,0,0,9,9,0099,,MOV H0099 K2Y100,,남북,,,,,,,
4거리,on,y106,5,7,,,1,1,,,1,1,,,0,0,6,6,0066,,MOV H0066 K2Y100,,동서,,,,,,,
,off,y107,,,,1,,,,1,,,,,0,0,8,8,0088,,MOV H0088 K2Y100,,남북 점멸,,,,,,,
,,,,,,,,1,,,,1,,,0,0,2,2,0022,,MOV H0022 K2Y100,,동서 점멸,,,,,,,
